
#,Player,Games Played,Games Started,Minutes,Field Goals,Field Goals Attempted,Field Goal %,3 Points,3 Points Attempted,3 Point %,Free Throws,Free Throws Attempted,Free Throw %,Points,Points Ave Per Game,Offensive Rebound,Defensive Rebound,Total Rebounds,Ave Rebound per Game,Fouls,Assists,Turn Overs,Steals,Blocks
11,Isaac McKneely,8,8,231,28,35,.493,25,43,.581,8,10,.800,103,12.9,0,25,25,3.1,11,13,8,3,3
2,Reece Beekman,9,9,259,28,39,.448,7,25,.280,19,24,.792,104,11.6,2,26,28,3.1,9,52,11,25,8
13,Ryan Dunn,9,9,233,25,29,.558,4,19,.211,22,31,.710,84,9.3,13,44,57,6.3,18,10,4,23,23
34,Jacob Groves,9,5,178,19,25,.500,11,26,.423,9,11,.818,70,7.8,6,16,22,2.4,19,11,3,4,1
35,Leon Bond III,9,0,141,15,29,.569,1,2,.500,7,10,.700,66,7.3,16,22,38,4.2,9,8,4,6,4
4,Andrew Rohde,9,9,261,29,24,.387,11,31,.355,3,8,.375,62,6.9,1,23,24,2.7,4,28,13,4,1
12,Elijah Gertrude,3,0,42,14,8,.471,1,7,.143,2,2,1.000,19,6.3,0,2,2,0.7,6,2,3,2,2
0,Blake Buchanan,9,4,152,16,14,.452,0,0,.000,19,31,.613,47,5.2,16,16,32,3.6,19,4,9,6,10
1,Dante Harris,5,1,108,21,6,.316,2,4,.500,7,12,.583,21,4.2,1,12,13,2.6,9,8,7,6,2
10,Taine Murray,8,0,99,12,7,.500,4,8,.500,5,8,.625,23,2.9,1,10,11,1.4,6,3,5,1,1
22,Jordan Minor,8,0,59,7,4,.286,0,0,.000,2,2,1.000,10,1.3,7,7,14,1.8,13,3,4,0,1
24,Tristan How,5,0,12,2,1,.250,0,1,.000,0,1,.000,2,0.4,1,0,1,0.2,1,1,0,0,0
42,Bryce Walker,4,0,11,2,0,.000,0,1,.000,1,2,.500,1,0.3,0,1,1,0.3,0,1,0,0,0
